Name,State,Control,Region,Enrollment
Mid-Atlantic Christian University,NC,Private,Southeast,192
Antioch University-Los Angeles,CA,Private,West,193
Carolina College of Biblical Studies,NC,Private,Southeast,193
MGH Institute of Health Professions,MA,Private,Northeast,195
Bastyr University,WA,Private,West,195
Criswell College,TX,Private,West,196
Veritas Baptist College,IN,Private,Midwest,196
Saint Anthony College of Nursing,IL,Private,Midwest,199
Watkins College of Art Design & Film,TN,Private,Southeast,199
San Francisco Conservatory of Music,CA,Private,West,205
Cleveland Institute of Music,OH,Private,Midwest,212
Trinity College of Nursing & Health Sciences,IL,Private,Midwest,213
Amberton University,TX,Private,West,213
Lakeview College of Nursing,IL,Private,Midwest,215
Calvary University,MO,Private,Midwest,222
Yeshiva Toras Chaim,NJ,Private,Northeast,222
Barclay College,KS,Private,Midwest,224
SUNY Downstate Medical Center,NY,Public,Northeast,225
Central Christian College of the Bible,MO,Private,Midwest,226
Rabbinical College of America,NJ,Private,Northeast,227
Rabbinical College of Ohr Shimon Yisroel,NY,Private,Northeast,227
Dallas Christian College,TX,Private,West,228
Ecclesia College,AR,Private,Southeast,229
Hobe Sound Bible College,FL,Private,Southeast,233
Universidad Pentecostal Mizpa,PR,Private,Territory,233
Carlos Albizu University-Miami,FL,Private,Southeast,236
Herzing University-Brookfield,WI,Private,Midwest,238
Gods Bible School and College,OH,Private,Midwest,239
Upstate Medical University,NY,Public,Northeast,246
Alaska Pacific University,AK,Private,West,247
Welch College,TN,Private,Southeast,248
